	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm_all
31	0.372601481628418	0.49308781566619875	83.31	86.802	7.423117182270289e-05
32	0.4724051814079285	0.597112828540802	80.32	84.03	3.5595709391600394e-05
33	0.4033089783668518	0.5181548336982728	82.99	86.42	6.947028839476843e-05
34	0.37723282656669616	0.5142004017829895	84.18	87.066	6.777754310860473e-05
35	0.4102333326911926	0.5312255189895629	82.8	86.02	6.0478434875221865e-05
36	0.3961584200668335	0.5365187219619751	83.43	86.748	7.999744275366538e-05
37	0.33976280069351195	0.48537606258392335	84.88	88.526	0.00011519613167365605
38	0.5426199570083619	0.6515439577102661	79.79	82.524	8.05087331627874e-05
39	0.3265358780765533	0.4460511158466339	85.12	88.638	8.450383734270872e-05
40	0.36379191306114195	0.5000402152061463	84.34	87.896	8.5954076496364e-05
41	0.36972219903945924	0.49745586700439454	84.18	87.264	9.553573619314193e-05
42	0.2957686181163788	0.4293609890937805	86.04	89.676	6.231501578213283e-05
43	0.2716964369392395	0.42252276487350465	86.8	90.66	0.00010715208419398436
44	0.33883959730148316	0.4767912996292114	85.33	88.504	7.113145062476178e-05
45	0.31546941968917847	0.4402410282611847	85.36	88.768	7.501697731981949e-05
46	0.35915410990715024	0.5078068024635315	83.97	87.57	0.00010092463321598188
47	0.30833937319755556	0.4485520626068115	85.29	89.276	6.588995302081457e-05
48	0.25824222492694854	0.39356572761535646	86.89	90.98	7.176098677064147e-05
49	0.2707862014913559	0.4028417214393616	86.95	90.624	0.00011305522900784126
50	0.296350137090683	0.45014891395568846	85.65	89.704	8.917067742686413e-05
51	0.25688171743392946	0.40985543684959413	87.06	91.162	9.416189777766704e-05
52	0.2711682071590424	0.40506521673202517	87.21	90.294	0.00010124237758191157
53	0.478684477519989	0.6266110369682312	81.46	84.44	7.814994080490578e-05
54	0.2623608926677704	0.41823105375766756	86.78	90.938	0.00011349475184374569
55	0.29115694046974183	0.4383547119140625	86.04	89.946	8.362472260614595e-05
56	0.34215827564239504	0.48371691846847537	85.04	88.538	8.328799390966424e-05
