	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_scaled	loss_error	loss_error_wt	loss_error_wt_scaled
14	1.6992367760467528	1.7054263412475585	38.16	38.51	8274.954543319292	667.2481531564824	8393.910867125558	74681.2265625	3547.375	76153.921875
15	1.6415078226089477	1.6563004800796508	44.56	44.704	6579.728637356235	310.6603574763694	6675.496545412546	70824.640625	5339.3359375	72465.0234375
16	1.7293793158340454	1.7478245447158813	42.28	42.49	7173.198454336661	753.0991791600173	7316.966560782472	71993.390625	6656.515625	73927.7890625
17	1.870504966583252	1.8953302642822265	39.0	39.956	8157.417779728999	622.0089573526137	8298.002827508839	77599.8984375	1956.0234375	79618.9375
18	1.5988468353271483	1.614334778404236	46.63	46.854	6521.7776666569	524.9218226488133	6547.253701399458	70404.9609375	6726.2890625	72182.6015625
19	1.3806861873626708	1.3754021753311156	53.13	53.382	4512.735490992302	513.932218435957	4607.210680914171	59964.5625	5177.71875	62277.875
20	1.304504023361206	1.3155597274780273	53.71	53.978	4753.897579286114	203.46448373547793	4674.426427245032	56801.4765625	3643.609375	59408.36328125
21	1.8388477291488647	1.8497824558258056	43.9	43.484	8045.873198400618	352.77461514722785	8076.230813282653	72374.3125	4362.0078125	74977.765625
22	1.4971558619689942	1.5049879705429077	43.82	43.814	5760.003676709722	494.58613721261474	5781.947812546533	65526.9609375	6604.3359375	67154.28125
23	1.605558518600464	1.6140234008789063	48.95	48.952	8417.973776036624	627.1824043200402	8529.692686628765	66798.25	4135.5	68890.8828125
24	1.2924910099792482	1.2967766941070558	56.0	56.128	5567.457431806245	305.85347056896535	5717.924925134222	54500.73828125	5583.2578125	56838.578125
25	1.2515081006622315	1.2622289768218995	56.09	56.696	5110.468560690635	680.5619065549929	5205.483895717206	52600.7265625	4950.30078125	55480.53125
26	1.1341074019622803	1.1489574878692628	60.05	60.25	3319.2839991337523	289.4419405001303	3209.726411837224	48384.671875	4252.6640625	50753.15625
27	1.5365609869384766	1.5298246253967285	52.58	52.064	7785.885844800806	339.26565862518237	7910.298031816544	63198.921875	4199.4140625	66129.9921875
28	1.109542011680603	1.1318658800125123	60.64	61.148	4909.62302061287	323.352067628495	4875.962620338907	48709.35546875	3973.95703125	51108.9453125
29	1.1657300513839721	1.1999161871910096	58.97	60.12	5171.28724984162	369.122134436473	5258.5781521269755	50231.578125	4705.48828125	52985.62109375
30	1.1847951138687134	1.2112454652786255	59.37	59.844	5142.854679106913	442.0587646308528	5240.379161518471	49143.2578125	3302.75390625	51849.8203125
31	1.25936737159729	1.2796199737548828	58.21	58.958	6483.940404018117	311.26536169954613	6488.827729391963	51732.50390625	4712.10546875	54334.65625
32	1.232381944656372	1.2549792514801026	57.13	57.808	4291.574988248174	625.7512935175212	4455.912647763701	48731.640625	5069.76171875	52369.3203125
